id,user_id,shop_name,shop_logo,shop_banner,shop_description,cnic,is_verified,rating,total_sales
1,1,Wallace Ltd,https://placekitten.com/726/306,https://placeimg.com/659/8/any,Gun artist finish woman national get television. Toward point rule people million.,6633503581766,True,4.74,74
2,2,Love-Brennan,https://placekitten.com/255/758,https://www.lorempixel.com/465/696,Box push race. Realize radio speech enter little.,6941048155154,True,4.3,68
3,3,"Waller, Wade and Wilkins",https://placeimg.com/559/446/any,https://placeimg.com/628/651/any,Suddenly see one save maintain activity month. Least follow raise method car.,7799961148772,False,3.14,235
4,4,Molina Inc,https://placeimg.com/981/703/any,https://placeimg.com/169/550/any,Real exactly job ball same yard issue. Special PM position skin throw beat such.,3150260339386,True,3.31,56
5,5,Jackson-Martinez,https://www.lorempixel.com/298/198,https://dummyimage.com/442x848,Man old many occur politics specific toward. South can understand send truth edge wonder.,6804688968470,True,3.0,204
6,6,House Group,https://placeimg.com/520/622/any,https://placekitten.com/600/841,Vote short boy provide. Agree everyone by build security everyone.,6365964240463,True,3.48,239
7,7,Rose-Bryan,https://www.lorempixel.com/289/341,https://placekitten.com/924/183,Painting skill piece this movie. Forget which again consumer make though anyone.,803170444023,True,4.52,122
8,8,"Sellers, Harris and Gilbert",https://www.lorempixel.com/680/489,https://placekitten.com/440/267,The relationship history message half mother I some. Budget factor budget reduce human example.,510042603812,True,4.76,271
9,9,Thomas-Parks,https://placekitten.com/206/684,https://www.lorempixel.com/848/983,Husband enjoy opportunity would street quality effort. Ago rate skill when. Enter shoulder special.,3678481970849,True,4.2,460
10,10,"Davidson, Short and Rivera",https://dummyimage.com/1010x682,https://dummyimage.com/85x156,Color decade if move our team away. Voice exactly term boy national.,9550753227061,True,3.63,446
11,11,Robinson-Jennings,https://placeimg.com/1017/586/any,https://placeimg.com/606/768/any,Better material million husband house space pressure.,6377036744550,False,3.69,15
12,12,"Morton, Huynh and Johnson",https://placekitten.com/984/392,https://dummyimage.com/289x219,Instead team prepare step why. Whole federal enough most. Real these cut.,2540611578295,False,4.17,16
13,13,"Howard, Fitzgerald and Taylor",https://placekitten.com/469/464,https://placekitten.com/702/431,Lose kind camera above fund study. Push material evidence friend. Friend run toward.,4434719087501,True,3.03,291
14,14,"Davis, Thomas and Pratt",https://dummyimage.com/946x511,https://dummyimage.com/459x635,East particular owner. Ten attention figure. Finish medical policy clearly fill.,4917708796452,True,3.44,260
15,15,Swanson and Sons,https://placekitten.com/763/190,https://placeimg.com/188/157/any,Marriage measure fear now learn. While stay tax interesting name performance can.,1891591165569,False,3.12,441
